scenario.CEO,scenario.Year,scenario.Age,scenario.dominant_gender,scenario.dominant_race,scenario.dominant_emotion,answer.Projected_risk_taking,answer.Projected_leadership_strength,answer.Projected_communication_skill,answer.Projected_financial_stewardship
Tim Cook,2011,28,Man,white,happy,2,3.0,4.0,1.0
Tim Cook,2012,42,Man,white,happy,3,4.0,4.0,4.0
Tim Cook,2013,46,Man,white,sad,2,4.0,4.0,4.0
Tim Cook,2014,43,Man,white,angry,2,3.0,3.0,4.0
Tim Cook,2015,37,Man,white,happy,3,3.0,4.0,3.0
Tim Cook,2016,31,Man,white,happy,3,1.0,4.0,3.0
Tim Cook,2017,24,Man,latino hispanic,happy,1,1.0,1.0,1.0
Tim Cook,2018,29,Man,white,sad,2,1.0,1.0,1.0
Tim Cook,2019,38,Man,white,neutral,3,4.0,5.0,4.0
Steve Ballmer,2010,27,Man,white,fear,2,1.0,3.0,1.0
Steve Ballmer,2011,41,Man,white,happy,4,4.0,4.0,4.0
Steve Ballmer,2012,46,Man,white,angry,3,3.0,3.0,3.0
Steve Ballmer,2013,40,Man,white,neutral,3,4.0,4.0,3.0
Satya Nadella,2014,24,Man,middle eastern,angry,3,1.0,1.0,1.0
Satya Nadella,2015,39,Man,white,happy,3,4.0,4.0,4.0
Satya Nadella,2016,34,Man,latino hispanic,angry,2,1.0,1.0,1.0
Satya Nadella,2017,29,Man,middle eastern,fear,2,1.0,1.0,1.0
Satya Nadella,2018,27,Man,middle eastern,happy,4,1.0,4.0,1.0
Satya Nadella,2019,31,Man,asian,happy,3,3.0,4.0,3.0
Jensen Huang,2010,37,Man,asian,fear,3,3.0,3.0,3.0
Jensen Huang,2011,34,Man,asian,sad,3,3.0,3.0,3.0
Jensen Huang,2013,34,Man,asian,angry,4,2.0,2.0,3.0
Jensen Huang,2014,45,Man,asian,sad,2,3.0,4.0,3.0
Jensen Huang,2015,45,Man,asian,sad,3,3.0,3.0,4.0
Jensen Huang,2016,41,Man,asian,sad,2,3.0,3.0,3.0
Jensen Huang,2017,44,Man,asian,neutral,3,4.0,4.0,4.0
Jensen Huang,2018,46,Man,asian,angry,3,3.0,3.0,3.0
Jensen Huang,2019,40,Man,asian,angry,4,2.0,2.0,3.0
Scott A. McGregor,2011,39,Man,white,fear,2,2.0,3.0,4.0
Scott A. McGregor,2012,49,Man,asian,happy,3,3.0,4.0,3.0
Scott A. McGregor,2013,44,Man,asian,angry,3,2.0,1.0,3.0
Scott A. McGregor,2015,39,Man,white,surprise,3,3.0,3.0,4.0
Hock Tan,2016,45,Man,asian,neutral,3,4.0,4.0,4.0
Hock Tan,2017,46,Man,asian,neutral,3,4.0,4.0,4.0
Hock Tan,2018,50,Man,asian,happy,3,4.0,4.0,4.0
Hock Tan,2019,43,Man,asian,sad,3,3.0,3.0,3.0
Shantanu Narayen,2010,29,Man,latino hispanic,happy,3,3.0,3.0,1.0
Shantanu Narayen,2011,39,Man,asian,neutral,3,3.0,4.0,4.0
Shantanu Narayen,2012,38,Man,black,sad,2,2.0,3.0,3.0
Shantanu Narayen,2013,24,Man,middle eastern,happy,4,1.0,1.0,1.0
Shantanu Narayen,2014,46,Man,middle eastern,neutral,3,4.0,4.0,4.0
Shantanu Narayen,2015,43,Man,middle eastern,angry,3,2.0,2.0,1.0
Shantanu Narayen,2016,26,Man,black,fear,2,1.0,1.0,1.0
Shantanu Narayen,2017,43,Man,indian,neutral,3,3.0,4.0,3.0
Shantanu Narayen,2018,42,Man,latino hispanic,neutral,3,3.0,4.0,3.0
Shantanu Narayen,2019,43,Man,asian,angry,3,2.0,3.0,3.0
John T. Chambers,2011,31,Man,white,angry,4,2.0,3.0,3.0
John T. Chambers,2012,43,Man,asian,sad,2,3.0,3.0,3.0
John T. Chambers,2013,33,Man,asian,sad,3,2.0,3.0,3.0
John T. Chambers,2014,41,Man,white,neutral,3,4.0,4.0,3.0
Chuck Robbins,2015,39,Man,white,happy,3,4.0,4.0,3.0
Chuck Robbins,2016,32,Man,white,happy,4,3.0,4.0,3.0
Chuck Robbins,2017,31,Man,latino hispanic,fear,2,1.0,2.0,1.0
Chuck Robbins,2018,23,Man,white,happy,3,1.0,1.0,1.0
Chuck Robbins,2019,23,Man,white,happy,3,1.0,1.0,1.0
Larry Ellison,2010,45,Man,white,fear,3,4.0,4.0,4.0
Larry Ellison,2012,30,Man,latino hispanic,angry,4,2.0,2.0,2.0
Larry Ellison,2013,44,Man,white,happy,4,5.0,4.0,5.0
Safra Catz & Mark Hurd,2014,43,Man,white,happy,3,4.0,4.0,4.0
Safra Catz & Mark Hurd,2015,28,Man,white,happy,3,4.0,5.0,4.0
Safra Catz & Mark Hurd,2016,30,Man,white,sad,3,4.0,4.0,4.0
Safra Catz & Mark Hurd,2017,30,Man,white,sad,3,4.0,5.0,4.0
Safra Catz & Mark Hurd,2018,30,Man,white,sad,3,3.0,5.0,4.0
Safra Catz & Mark Hurd,2019,30,Man,white,surprise,3,4.0,5.0,4.0
Marc Benioff,2010,29,Man,white,happy,3,4.0,4.0,3.0
Marc Benioff,2011,44,Man,white,sad,2,4.0,3.0,4.0
Marc Benioff,2012,28,Man,white,sad,2,2.0,3.0,3.0
Marc Benioff,2013,41,Man,white,sad,3,3.0,3.0,4.0
Marc Benioff,2014,44,Man,black,fear,3,3.0,3.0,3.0
Marc Benioff,2016,33,Man,white,angry,4,3.0,3.0,3.0
Marc Benioff,2017,37,Man,latino hispanic,sad,2,3.0,3.0,3.0
Marc Benioff,2018,51,Man,white,happy,3,4.0,4.0,4.0
Marc Benioff,2019,40,Man,white,neutral,3,4.0,4.0,4.0
Paul Otellini,2010,46,Man,white,neutral,3,4.0,4.0,4.0
Paul Otellini,2011,25,Man,white,angry,5,1.0,1.0,1.0
Paul Otellini,2012,38,Man,white,happy,4,3.0,4.0,3.0
Brian Krzanich,2013,39,Man,white,fear,2,3.0,3.0,3.0
Brian Krzanich,2014,43,Man,white,sad,3,3.0,3.0,3.0
Brian Krzanich,2015,50,Man,white,happy,3,4.0,4.0,4.0
Brian Krzanich,2016,52,Man,white,fear,2,3.0,4.0,3.0
Brian Krzanich,2017,37,Man,white,happy,3,3.0,4.0,3.0
Bob Swan,2018,26,Man,latino hispanic,happy,3,1.0,3.0,1.0
Bob Swan,2019,27,Man,latino hispanic,happy,4,3.0,3.0,1.0
Richard K. Templeton,2010,27,Man,white,neutral,4,3.0,4.0,3.0
Richard K. Templeton,2011,27,Man,white,neutral,4,3.0,4.0,3.0
Richard K. Templeton,2012,33,Man,asian,sad,3,2.0,3.0,3.0
Richard K. Templeton,2014,38,Man,white,neutral,3,3.0,4.0,3.0
Richard K. Templeton,2016,38,Man,latino hispanic,neutral,3,3.0,3.0,3.0
Richard K. Templeton,2017,38,Man,white,happy,4,4.0,4.0,4.0
Brian Crutcher,2018,45,Man,white,happy,3,4.0,4.0,4.0
Brian Crutcher,2019,40,Man,white,happy,3,4.0,4.0,3.0
Paul E. Jacobs,2010,48,Man,white,sad,2,3.0,4.0,3.0
Paul E. Jacobs,2011,29,Man,white,happy,4,3.0,4.0,3.0
Steve Mollenkopf,2015,39,Man,white,happy,3,4.0,4.0,4.0
Steve Mollenkopf,2016,37,Man,white,happy,3,3.0,4.0,4.0
Steve Mollenkopf,2018,41,Man,white,happy,3,4.0,4.0,4.0
Steve Mollenkopf,2019,40,Man,white,angry,3,2.0,2.0,3.0
Virginia Rometty,2012,35,Man,white,neutral,3,3.0,3.0,3.0
Virginia Rometty,2013,40,Man,white,fear,2,1.0,2.0,3.0
Virginia Rometty,2014,36,Woman,white,happy,3,3.0,4.0,4.0
Virginia Rometty,2015,26,Man,white,neutral,3,1.0,3.0,1.0
Virginia Rometty,2016,35,Woman,white,happy,3,3.0,4.0,4.0
Virginia Rometty,2017,31,Woman,white,neutral,3,3.0,3.0,3.0
Virginia Rometty,2018,32,Woman,white,happy,3,3.0,5.0,5.0
Virginia Rometty,2019,32,Woman,white,happy,3,3.0,5.0,4.0
John Donahoe (under eBay),2010,45,Man,white,surprise,3,3.0,4.0,4.0
John Donahoe (under eBay),2011,33,Man,white,happy,3,3.0,4.0,4.0
John Donahoe (under eBay),2012,36,Man,white,angry,3,3.0,2.0,3.0
John Donahoe (under eBay),2013,46,Man,white,neutral,3,3.0,4.0,4.0
John Donahoe (under eBay),2014,35,Man,white,neutral,3,3.0,4.0,3.0
Dan Schulman,2015,37,Man,white,neutral,3,3.0,4.0,3.0
Dan Schulman,2016,35,Man,white,surprise,3,3.0,3.0,3.0
Dan Schulman,2017,39,Man,white,neutral,3,3.0,4.0,3.0
Dan Schulman,2018,33,Man,white,neutral,3,3.0,4.0,3.0
Dan Schulman,2019,44,Man,latino hispanic,happy,3,3.0,4.0,3.0
Fred Luddy,2010,40,Man,white,happy,3,4.0,4.0,4.0
Fred Luddy,2011,40,Man,white,happy,3,4.0,4.0,4.0
Frank Slootman,2012,44,Man,white,happy,4,4.0,4.0,4.0
Frank Slootman,2013,44,Man,white,angry,4,4.0,4.0,4.0
Frank Slootman,2014,50,Man,white,sad,2,3.0,3.0,4.0
Frank Slootman,2015,42,Man,white,happy,4,4.0,4.0,4.0
Frank Slootman,2016,31,Man,white,happy,4,3.0,4.0,4.0
John Donahoe,2017,41,Man,white,happy,3,4.0,4.0,4.0
John Donahoe,2018,36,Man,white,neutral,3,3.0,4.0,3.0
John Donahoe,2019,35,Man,white,angry,3,3.0,3.0,3.0
Brad Smith,2010,27,Man,white,happy,4,3.0,4.0,3.0
Brad Smith,2011,31,Man,white,happy,3,4.0,4.0,4.0
Brad Smith,2012,27,Man,white,happy,4,3.0,4.0,3.0
Brad Smith,2013,24,Man,white,neutral,4,2.0,3.0,2.0
Brad Smith,2014,28,Man,white,surprise,4,3.0,3.0,3.0
Brad Smith,2015,27,Man,white,happy,4,3.0,4.0,3.0
Brad Smith,2016,23,Man,white,happy,4,1.0,3.0,2.0
Brad Smith,2017,25,Man,white,happy,4,2.0,3.0,2.0
Brad Smith,2018,27,Man,white,happy,4,3.0,4.0,3.0
Sasan Goodarzi,2019,43,Man,latino hispanic,happy,3,3.0,4.0,3.0
Dirk Meyer,2010,38,Man,white,happy,3,4.0,4.0,3.0
Thomas Seifert (interim),2011,39,Man,middle eastern,neutral,3,3.0,3.0,3.0
Rory Read,2012,26,Man,white,happy,4,2.0,4.0,3.0
Rory Read,2013,35,Man,white,happy,3,4.0,4.0,4.0
